Year,Precipitaion
1901,5260.700004
1902,5150.499995
1903,6602.799977
1904,6939.60001
1905,5903.999987
1906,7055.39999
1907,7724.900007
1908,7449.199994
1909,7040.900011
1910,6751.90001
1911,7966.799995
1912,7281.800018
1913,5931.599989
1914,7220.300001
1915,7198.699972
1916,6609.199995
1917,8559.799994
1918,8033.599984
1919,10008.50001
1920,8622.79998
1921,7107.399982
1922,7460.200008
1923,5775.200011
1924,5426.999997
1925,9158.100007
1926,7961.500027
1927,8116.900024
1928,6564.600004
1929,10275.99998
1930,6191.399988
1931,6610.100011
1932,8151.59999
1933,8338.200007
1934,9022.800022
1935,6941.199997
1936,9540.999993
1937,10892.49999
1938,7180.700001
1939,9032.700006
1940,7435.799986
1941,5197.599987
1942,7240.000002
1943,8724.499993
1944,7890.900002
1945,7710.699987
1946,8116.000018
1947,7548.000003
1948,6603.099985
1949,8165.400012
1950,7426.899986
1951,6655.299993
1952,8011.399982
1953,6765.799999
1954,5821.799991
1955,7779.000014
1956,7380.400019
1957,5195.499999
1958,8952.300017
1959,7666.699989
1960,6888.999981
1961,10796.79999
1962,6302.200026
1963,7195.3
1964,7192.800015
1965,4049.400006
1966,5137.200004
1967,7904.999993
1968,6664.399993
1969,5241.499992
1970,8089.299998
1971,6401.699978
1972,5774.600012
1973,7414.999994
1974,3749.700007
1975,5856.19999
1976,6894.999982
1977,5864.800008
1978,5611.199995
1979,4326.300022
1980,6905.500004
1981,6130.600004
1982,8459.100028
1983,6533.399993
1984,8297.399994
1985,10072.90003
1986,7158.499998
1987,5014.299991
1988,4989.699988
1989,7052.799985
1990,7121.499974
1991,5024.100004
1992,8189.100004
1993,5683.999989
1994,7642.200004
1995,5011.100003
1996,4633.999998
1997,6346.000007
1998,5426.999994
1999,5044.499993
2000,4334
2001,10499.4
2002,5099.90001
2003,8909.29999
2004,5380.799998
2005,5939.699997
2006,8347.400006
2007,6791.999991
2008,6109.700004
2009,8416.000009
2010,5326.599981
2011,6754.800007
2012,8043.000014
2013,6614.300006
2014,8227.299998
2015,5603.099988
2016,5301.800007
2017,5289.599997
2018,6771.600013
