Year,DMI(IOD)
1965,-0.470833333
1966,-0.47
1967,-0.141666667
1968,-0.356666667
1969,-0.4625
1970,-0.390833333
1971,-0.414166667
1972,0.0925
1973,-0.495833333
1974,-0.445
1975,-0.665833333
1976,-0.2375
1977,-0.3225
1978,-0.536666667
1979,-0.4825
1980,-0.561666667
1981,-0.5525
1982,-0.043333333
1983,-0.445
1984,-0.671666667
1985,-0.776666667
1986,-0.421666667
1987,-0.461666667
1988,-0.4975
1989,-0.786666667
1990,-0.626666667
1991,-0.2825
1992,-0.8775
1993,-0.485833333
1994,-0.010833333
1995,-0.618333333
1996,-0.833333333
1997,0.118333333
1998,-0.629166667
1999,-0.600833333
2000,-0.336666667
2001,-0.510833333
2002,-0.613333333
2003,-0.396666667
2004,-0.621666667
2005,-0.8825
2006,-0.3025
2007,-0.2575
2008,-0.445833333
2009,-0.376666667
2010,-0.7175
2011,-0.3675
2012,-0.2625
2013,-0.646666667
2014,-0.6425
2015,-0.070833333
2016,-0.84
2017,0.009166667
2018,-0.009166667
2019,0.481666667
2020,-0.3375
2021,-0.6575
2022,-0.919166667
2023,0.359166667
