Year,SOI
1951,-0.458333333
1952,-0.041666667
1953,-0.683333333
1954,0.733333333
1955,1.691666667
1956,1.791666667
1957,-0.258333333
1958,-0.258333333
1959,0.233333333
1960,0.841666667
1961,0.308333333
1962,0.875
1963,-0.083333333
1964,1.025
1965,-0.85
1966,-0.383333333
1967,0.783333333
1968,0.65
1969,-0.566666667
1970,0.775
1971,1.825
1972,-0.8
1973,1.225
1974,1.825
1975,2.183333333
1976,0.516666667
1977,-1.05
1978,-0.116666667
1979,0.233333333
1980,-0.125
1981,0.408333333
1982,-1.491666667
1983,-1.258333333
1984,0.208333333
1985,0.475
1986,-0.15
1987,-1.525
1988,1.366666667
1989,1.166666667
1990,-0.2
1991,-0.958333333
1992,-1.366666667
1993,-1.091666667
1994,-1.366666667
1995,-0.025
1996,1.108333333
1997,-1.208333333
1998,-0.066666667
1999,1.408333333
2000,1.391666667
2001,0.4
2002,-0.525
2003,-0.15
2004,-0.425
2005,-0.308333333
2006,0.016666667
2007,0.433333333
2008,1.883333333
2009,0.275
2010,1.525
2011,2.308333333
2012,0.225
2013,0.75
2014,-0.216666667
2015,-1.325
2016,-0.275
2017,0.591666667
2018,0.433333333
2019,-0.808333333
2020,0.775
2021,1.525
2022,2.166666667
2023,-0.2
,
,
,
,
,
,
,
