Years,Peak
1978,19220
1979,14350
1980,20157.3
1981,10199.2
1982,17060
1983,19950
1984,26240
1985,15600
1986,23060
1987,13661
1988,20500
1989,13200
1990,18000
1991,20780
1992,9800
1993,12300
1994,24040
1995,10200
1996,14300
1997,15000
1998,18500
1999,29250
2000,5450
2001,5950
2002,14800
2003,13240
2004,14625
2005,11761.64
2006,21341
2007,10883.78
2008,6246
2009,20785.61
2010,6586.8
2011,8044.14
2012,21415
2013,31879.9
2014,4908.59
2015,5371.43
2016,14900.8
2017,3059.3
