Years,Peak
1973,40428.2
1974,29904.8
1975,30476.9
1976,16374.5
1978,40745
1979,27475
1980,23138
1981,22883.4
1982,15722.4
1983,18150
1984,49500
1985,14500
1986,34700
1987,10800
1988,22600
1989,14200
1990,52000
1991,22500
1992,10150
1993,20973
1994,60642
1995,11168
1996,28200
1997,21849
1998,25600
1999,23400
2000,4460
2001,8200
2002,18250
2003,9850
2005,7549.75
2006,22226.45
2007,10600.78
2008,606.33
2009,10684.21
2010,4542.92
2011,11631.56
2012,26586.36
2013,32056.75
2014,10016.13
2015,4804.97
2016,8995.63
2017,619.75
